name,expansion,count,minPlayers,rules,resource,gold,depends on
Aristotle,2,,,science-sets,Victory Points,3,"Science,Self"
Enheduanna,,,,science-most,Science,4,"Science,Self"
Nefertiti,,,,victory-point,Victory Points,3,
Cornelia,,,,more-cards,Victory Points,A,"Yellow Cards,Neighbors"
Hatshepsut,,,,cash-back,Gold,2,Neighbors
Justinian,,,,color-sets,Victory Points,3,"Blue Cards,Red Cards,Green Cards,Self"
Archimedes,,,,color-discount,Discount,4,"Green Cards,Self"
Zenobia,,,,victory-point,Victory Points,2,
Amytis,,,,amytis,Victory Points,4,"Wonder,Self"
Nero,,,,nero,Gold,1,"Military Victory,Self"
Hiram,,,,color-victory-self,Victory Points,3,"Purple Cards,Self"
Pythagoras,,,,science,Science,5,
Darius,,,,black-victory,Victory Points,4,"Black Cards,Self"
Cleopatra,,,,victory-point,Victory Points,4,"Green Cards,Neighbors"
Theano,,,,more-cards,Victory Points,A,
Hypatia,,,,color-victory-self,Victory Points,4,"Green Cards,Self"
Tomyris,,,,tomyris,Military Loss,4,"Military Loss,Self"
Bilkis,,,,bilkis,"Stone,Wood,Glassworks,Press,Loom,Clay,Ore",4,
Praxiteles,,,,color-victory-self,Victory Points,3,"Grey Cards,Self"
Solomon,,,,free-discard,Free Card,3,
Midas,,,,gold-victory,Victory Points,3,"Gold,Self"
Vitruvius,,,,gold-chain,Gold,1,
Croesus,,,,gold,Gold,1,
Arsinoe,,,,"gold,debt","Gold,Debt",A,
Cynisca,,,,cynisca,Victory Points,A,"Military Loss,Self"
Caligula,,,,caligula,Free Card,3,
Phidias,,,,color-victory-self,Victory Points,3,"Brown Cards,Self"
Hammurabi,,,,color-discount,Discount,2,"Blue Cards,Self"
Ptolemy,,,,science,Science,5,
Imhotep,,,,wonder-discount,Discount,3,"Wonder,Self"
Gorgo,,,,gorgo,Victory Points,5,"Military Victory,Self"
Alexander,,,,alexander,Victory Points,3,"Military Victory,Self"
Nitocris,,,,nitocris,Military Victory,A,
Phryne,,,,more-cards,Victory Points,A,"Blue Cards,Neighbors"
Pericles,,,,color-victory-self,Victory Points,6,"Red Cards,Self"
Octavia,,,,octavia,"Gold,Debt",1,"Wonder,Self"
Leonidas,,,,color-discount,Discount,2,"Red Cards,Self"
Diocletian,,,,diocletian,Gold,2,"Black Cards,Self"
Aspasia,,,,"victory-point,diplomacy","Diplomacy,Victory Points",3,
Makeda,,,,more-gold,Victory Points,A,"Gold,Neighbors"
Agrippina,,,,only-leader,Victory Points,1,"Leaders,Self"
Aganice,,,,aganice,Science,A,"Science,Self"
Berenice,,,,berenice,Gold,2,"Gold,Self"
Telesilla,,,,telesilla,Military Loss,3,
Xenophon,,,,xenophon,Gold,2,"Yellow Cards,Self"
Plato,,,,color-sets,Victory Points,4,"Brown Cards,Grey Cards,Blue Cards,Yellow Cards,Red Cards,Green Cards,Purple Cards,Self"
Ceasar,,,,military,Military,5,
Maecenas,,,,free-leader,Free Card,1,Leaders
Varro,,,,color-victory-self,Victory Points,3,"Yellow Cards,Self"
Hannibal,,,,military,Military,2,
Eurypyle,,,,more-cards,Victory Points,A,"Red Cards,Neighbors"
Euclid,,,,science,Science,5,
Nebuchadnezzar,,,,color-victory-self,Victory Points,4,"Blue Cards,Self"
Sappho,,,,victory-point,Victory Points,1,
Ramses,,,,free-purple,Free Card,5,Purple Cards
