name,expansion,count,minPlayers,rules,color,resource,cost,depends on
Sawmill,,,3,resource,Brown,Wood,Gold,
Sawmill,,,4,resource,Brown,Wood,Gold,
Quarry,,,3,resource,Brown,Stone,Gold,
Quarry,,,4,resource,Brown,Stone,Gold,
Brickyard,,,3,resource,Brown,Clay,Gold,
Brickyard,,,4,resource,Brown,Clay,Gold,
Foundry,,,3,resource,Brown,Ore,Gold,
Foundry,,,4,resource,Brown,Ore,Gold,
Loom,,,3,resource,Gray,Loom,,
Loom,,,5,resource,Gray,Loom,,
Glassworks,,,3,resource,Gray,Glassworks,,
Glassworks,,,5,resource,Gray,Glassworks,,
Press,,,3,resource,Gray,Press,,
Press,,,5,resource,Gray,Press,,
Aqueduct,,,3,victory-point,Blue,Victory Points,Stone,
Aqueduct,,,7,victory-point,Blue,Victory Points,Stone,
Temple,,,3,victory-point,Blue,Victory Points,"Wood,Clay,Glassworks",
Temple,,,6,victory-point,Blue,Victory Points,"Wood,Clay,Glassworks",
Statue,,,3,victory-point,Blue,Victory Points,"Wood,Ore",
Statue,,,7,victory-point,Blue,Victory Points,"Wood,Ore",
Courthouse,,,3,victory-point,Blue,Victory Points,"Clay,Loom",
Courthouse,,,5,victory-point,Blue,Victory Points,"Clay,Loom",
Forum,,,3,resource-multi,Yellow,"Loom,Glassworks,Press",Clay,
Forum,,,6,resource-multi,Yellow,"Loom,Glassworks,Press",Clay,
Forum,,,7,resource-multi,Yellow,"Loom,Glassworks,Press",Clay,
Caravansery,,,3,resource-multi,Yellow,"Clay,Stone,Wood,Ore",Wood,
Caravansery,,,5,resource-multi,Yellow,"Clay,Stone,Wood,Ore",Wood,
Caravansery,,,6,resource-multi,Yellow,"Clay,Stone,Wood,Ore",Wood,
Vineyard,,,3,color-gold,Yellow,Gold,,"Brown Cards,Neighbors,Self"
Vineyard,,,6,color-gold,"Yellow""",Gold,,"Brown Cards,Neighbors,Self"
Bazar,,,4,color-gold,Yellow,Gold,,"Gray Cards,Neighbors,Self"
Bazar,,,7,color-gold,Yellow,Gold,,"Gray Cards,Neighbors,Self"
Walls,,,3,military,Red,Military,Stone,
Walls,,,7,military,Red,Military,Stone,
Training Ground,,,4,military,Red,Military,"Ore,Wood",
Training Ground,,,6,military,Red,Military,"Ore,Wood",
Training Ground,,,7,military,Red,Military,"Ore,Wood",
Stables,,,3,military,Red,Military,"Ore,Clay,Wood",
Stables,,,5,military,Red,Military,"Ore,Clay,Wood",
Archery Range,,,3,military,Red,Military,"Ore,Wood",
Archery Range,,,6,military,Red,Military,"Ore,Wood",
Dispensary,,,3,science,Green,Compass,"Ore,Glassworks",
Dispensary,,,4,science,Green,Compass,"Ore,Glassworks",
Laboratory,,,3,science,Green,Gear,"Clay,Press",
Laboratory,,,5,science,Green,Gear,"Clay,Press",
Library,,,3,science,Green,Tablet,"Stone,Loom",
Library,,,6,science,Green,Tablet,"Stone,Loom",
School,,,3,science,Green,Tablet,"Wood,Press",
School,,,7,science,Green,Tablet,"Wood,Press",
