name,expansion,count,minPlayers,rules,color,resource,cost,depends on
Pantheon,,,3,victory-point,Blue,Victory Points,"Clay,Ore,Press,Loom,Glassworks",
Pantheon,,,6,victory-point,Blue,Victory Points,"Clay,Ore,Press,Loom,Glassworks",
Gardens,,,3,victory-point,Blue,Victory Points,"Clay,Wood",
Gardens,,,4,victory-point,Blue,Victory Points,"Clay,Wood",
Town Hall,,,3,victory-point,Blue,Victory Points,"Stone,Ore,Glassworks",
Town Hall,,,6,victory-point,Blue,Victory Points,"Stone,Ore,Glassworks",
Palace,,,3,victory-point,Blue,Victory Points,"Clay,Wood,Ore,Stone,Glassworks,Press,Loom",
Palace,,,7,victory-point,Blue,Victory Points,"Clay,Wood,Ore,Stone,Glassworks,Press,Loom",
Senate,,,3,victory-point,Blue,Victory Points,"Wood,Ore,Stone",
Senate,,,5,victory-point,Blue,Victory Points,"Wood,Ore,Stone",
Haven,,,3,color-gold-victory,Yellow,"Gold,Victory Points","Ore,Wood,Loom","Brown Cards,Self"
Haven,,,4,color-gold-victory,Yellow,"Gold,Victory Points","Ore,Wood,Loom","Brown Cards,Self"
Lighthouse,,,3,yellow-gold-victory,Yellow,"Gold,Victory Points","Stone,Glassworks",
Lighthouse,,,6,yellow-gold-victory,Yellow,"Gold,Victory Points","Stone,Glassworks",
Chamber of Commerce,,,4,color-gold-victory,Yellow,"Gold,Victory Points","Clay,Press","Gray Cards,Self"
Chamber of Commerce,,,6,color-gold-victory,Yellow,"Gold,Victory Points","Clay,Press","Gray Cards,Self"
Ludus,,,5,color-gold-victory,Yellow,"Gold,Victory Points","Stone,Ore","Wonder,Self"
Ludus,,,7,color-gold-victory,Yellow,"Gold,Victory Points","Stone,Ore","Wonder,Self"
Arena,,,3,wonder-gold-victory,Yellow,"Gold,Victory Points","Stone,Ore","Wonder,Self"
Arena,,,5,wonder-gold-victory,Yellow,"Gold,Victory Points","Stone,Ore","Wonder,Self"
Fortifications,,,3,military,Red,Military,"Stone,Ore",
Fortifications,,,7,military,Red,Military,"Stone,Ore",
Circus,,,4,military,Red,Military,"Stone,Ore",
Circus,,,6,military,Red,Military,"Stone,Ore",
Arsenal,,,3,military,Red,Military,"Ore,Wood,Loom",
Arsenal,,,5,military,Red,Military,"Ore,Wood,Loom",
Siege Workshop,,,3,military,Red,Military,"Wood,Clay",
Siege Workshop,,,5,military,Red,Military,"Wood,Clay",
Castrum,,,4,military,Red,Military,"Wood,Clay,Press",
Castrum,,,7,military,Red,Military,"Wood,Clay,Press",
Lodge,,,3,science,Green,Compass,"Clay,Loom,Press",
Lodge,,,6,science,Green,Compass,"Clay,Loom,Press",
Observatory,,,3,science,Green,Gear,"Ore,Glassworks,Loom",
Observatory,,,7,science,Green,Gear,"Ore,Glassworks,Loom",
University,,,3,science,Green,Tablet,"Wood,Press,Glassworks",
University,,,4,science,Green,Tablet,"Wood,Press,Glassworks",
Academy,,,3,science,Green,Compass,"Stone,Glassworks",
Academy,,,7,science,Green,Compass,"Stone,Glassworks",
Study,,,3,science,Green,Gear,"Wood,Press,Loom",
Study,,,5,science,Green,Gear,"Wood,Press,Loom",
Workers Guild,,,,color-victory,Purple,Victory Points,"Ore,Clay,Stone,Wood","Brown Cards,Neighbors"
Craftsmens Guild,,,,color-victory,Purple,Victory Points,"Ore,Stone","Gray Cards,Neighbors"
Traders Guild,,,,color-victory,Purple,Victory Points,"Loom,Glassworks,Press","Yellow Cards,Neighbors"
Philosophers Guild,,,,color-victory,Purple,Victory Points,"Clay,Loom,Press","Green Cards,Neighbors"
Spies Guild,,,,color-victory,Purple,Victory Points,"Clay,Glassworks","Red Cards,Neighbors"
Decorators Guild,,,,wonder-complete-victory,Purple,Victory Points,"Ore,Stone,Loom","Wonder,Self"
Shipowners Guild,,,,color-victory-multi,Purple,Victory Points,"Wood,Press,Glassworks","Brown Cards,Gray Cards,Purple Cards,Self"
Scientists Guild,,,,science-multi,Purple,"Compass,Gear,Tablet","Wood,Ore,Press",
Magistrates Guild,,,,color-victory,Purple,Victory Points,"Wood,Stone,Loom","Blue Cards,Neighbors"
Builders Guild,,,,wonder-victory,Purple,Victory Points,"Stone,Clay,Glassworks","Wonder,Neighbors,Self"
